run_id,date,stage,description,data_scope,n_s1_queries,key_params,recall_at_candidates,val_precision,val_recall,val_f0.5,notes
blk_v2b_5000_20260926_173256:tfidf_nabp_p0.5,2026-09-26,blocking,tfidf_nabp_p0.5,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.5}}",0.983376,,,,oracle_f05=0.993896; cands_mean=200.0; RR=0.999981; sec=18.32; peak_gb=3.1
blk_v2b_5000_20260926_173256:tfidf_nabp_p0.75,2026-09-26,blocking,tfidf_nabp_p0.75,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.75}}",0.981986,,,,oracle_f05=0.993586; cands_mean=200.0; RR=0.999981; sec=18.54; peak_gb=3.1
blk_v2b_5000_20260926_173256:tfidf_pab,2026-09-26,blocking,tfidf_pab,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""pab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.967041,,,,oracle_f05=0.988985; cands_mean=200.0; RR=0.999981; sec=15.57; peak_gb=3.1
blk_v2b_5000_20260926_173256:fuse_nab_pab,2026-09-26,blocking,fuse_nab_pab,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; max-score fusion of tfidf_nab and tfidf_pab, top 100/source",0.984708,,,,oracle_f05=0.99428; cands_mean=200.0; RR=0.999981; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nab,2026-09-26,blocking,tfidf_nab,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; {""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.981292,,,,oracle_f05=0.993367; cands_mean=200.0; RR=0.999981; sec=63.68; peak_gb=3.65
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25,2026-09-26,blocking,tfidf_nabp_p0.25,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.25}}",0.982433,,,,oracle_f05=0.993692; cands_mean=200.0; RR=0.999981; sec=88.13; peak_gb=3.65
blk_confirm_20000_20260926_173516:tfidf_pab,2026-09-26,blocking,tfidf_pab,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; {""namespaces"": ""pab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.968041,,,,oracle_f05=0.98933; cands_mean=200.0; RR=0.999981; sec=63.57; peak_gb=3.65
blk_confirm_20000_20260926_173516:fuse_nab_pab,2026-09-26,blocking,fuse_nab_pab,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; max-score fusion of tfidf_nab and tfidf_pab, top 100/source",0.983948,,,,oracle_f05=0.994609; cands_mean=200.0; RR=0.999981; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nab@10/source,2026-09-26,blocking,tfidf_nab@10/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=10,0.954631,,,,oracle_f05=0.984186; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nab@20/source,2026-09-26,blocking,tfidf_nab@20/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=20,0.967738,,,,oracle_f05=0.988393; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nab@30/source,2026-09-26,blocking,tfidf_nab@30/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=30,0.972227,,,,oracle_f05=0.990223; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nab@50/source,2026-09-26,blocking,tfidf_nab@50/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=50,0.97689,,,,oracle_f05=0.99176; cands_mean=100.0; RR=0.99999; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@10/source,2026-09-26,blocking,tfidf_nabp_p0.25@10/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=10,0.958875,,,,oracle_f05=0.985838; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@20/source,2026-09-26,blocking,tfidf_nabp_p0.25@20/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=20,0.970668,,,,oracle_f05=0.989659; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@30/source,2026-09-26,blocking,tfidf_nabp_p0.25@30/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=30,0.974984,,,,oracle_f05=0.991275; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@50/source,2026-09-26,blocking,tfidf_nabp_p0.25@50/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=50,0.978593,,,,oracle_f05=0.992498; cands_mean=100.0; RR=0.99999; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@10/source,2026-09-26,blocking,fuse_nab_pab@10/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=10,0.955685,,,,oracle_f05=0.98469; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@20/source,2026-09-26,blocking,fuse_nab_pab@20/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=20,0.969946,,,,oracle_f05=0.989599; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@30/source,2026-09-26,blocking,fuse_nab_pab@30/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=30,0.974681,,,,oracle_f05=0.991405; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@50/source,2026-09-26,blocking,fuse_nab_pab@50/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=50,0.979574,,,,oracle_f05=0.993104; cands_mean=100.0; RR=0.99999; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@rel0.3,2026-09-26,blocking,tfidf_nabp_p0.25@rel0.3,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; keep score >= 0.3 x top score; min 5, max 100/source",0.9765,,,,oracle_f05=0.992324; cands_mean=83.1; RR=0.999992; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@rel0.5,2026-09-26,blocking,tfidf_nabp_p0.25@rel0.5,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; keep score >= 0.5 x top score; min 5, max 100/source",0.957114,,,,oracle_f05=0.98721; cands_mean=28.2; RR=0.999997; sec=; peak_gb=
blk_confirm_20000_20260926_173516:tfidf_nabp_p0.25@rel0.7,2026-09-26,blocking,tfidf_nabp_p0.25@rel0.7,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; keep score >= 0.7 x top score; min 5, max 100/source",0.942332,,,,oracle_f05=0.982076; cands_mean=13.3; RR=0.999999; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@rel0.3,2026-09-26,blocking,fuse_nab_pab@rel0.3,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; keep score >= 0.3 x top score; min 5, max 100/source",0.97637,,,,oracle_f05=0.992784; cands_mean=83.7; RR=0.999992; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@rel0.5,2026-09-26,blocking,fuse_nab_pab@rel0.5,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; keep score >= 0.5 x top score; min 5, max 100/source",0.954385,,,,oracle_f05=0.98669; cands_mean=28.5; RR=0.999997; sec=; peak_gb=
blk_confirm_20000_20260926_173516:fuse_nab_pab@rel0.7,2026-09-26,blocking,fuse_nab_pab@rel0.7,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; keep score >= 0.7 x top score; min 5, max 100/source",0.937395,,,,oracle_f05=0.980491; cands_mean=13.6; RR=0.999999; sec=; peak_gb=
blk_confirm_20000_20260926_173923:tfidf_nab,2026-09-26,blocking,tfidf_nab,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; {""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.981973,,,,oracle_f05=0.993832; cands_mean=200.0; RR=0.999981; sec=97.92; peak_gb=3.67
blk_confirm_20000_20260926_173923:tfidf_nabp_p0.25,2026-09-26,blocking,tfidf_nabp_p0.25,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.25}}",0.98329,,,,oracle_f05=0.994541; cands_mean=200.0; RR=0.999981; sec=103.93; peak_gb=3.67
blk_confirm_20000_20260926_173923:tfidf_pab,2026-09-26,blocking,tfidf_pab,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; {""namespaces"": ""pab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.967464,,,,oracle_f05=0.988696; cands_mean=200.0; RR=0.999981; sec=97.4; peak_gb=3.67
blk_confirm_20000_20260926_173923:fuse_nab_pab,2026-09-26,blocking,fuse_nab_pab,train fold 0 sample; pools = full train S2+S3,20000,"norm_v2; max-score fusion of tfidf_nab and tfidf_pab, top 100/source",0.984507,,,,oracle_f05=0.994865; cands_mean=200.0; RR=0.999981; sec=; peak_gb=
blk_confirm_20000_20260926_173923:tfidf_nab@10/source,2026-09-26,blocking,tfidf_nab@10/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=10,0.953795,,,,oracle_f05=0.984223; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_confirm_20000_20260926_173923:tfidf_nab@20/source,2026-09-26,blocking,tfidf_nab@20/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=20,0.968145,,,,oracle_f05=0.989013; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_confirm_20000_20260926_173923:tfidf_nab@30/source,2026-09-26,blocking,tfidf_nab@30/source,train fold 0 sample; pools = full train S2+S3,20000,norm_v2; top_k per source=30,0.972836,,,,oracle_f05=0.990832; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
